Rock_Size_[mm],Cumulative_Rock_Fraction_[%],Media_Size_[mm],Media_Fraction_[%]
212,100,140,16
106,83.3,133.3,24
53,32.4,127,60
26.5,14.4,,
9.5,9.7,,
2.4,5.6,,
